Generations	Time	GTA+	GTA-
0	0.000000e+00	89999999	810000000

[1]	time[1]= 9.449233e-02	90068008	810693638
[2]	time[2]= 1.897153e-01	90135145	811384490
[3]	time[3]= 2.852830e-01	90203485	812073621
[4]	time[4]= 3.812265e-01	90270593	812761698
[5]	time[5]= 4.776906e-01	90337567	813449193
[6]	time[6]= 5.749394e-01	90404026	814135499
[7]	time[7]= 6.725747e-01	90470011	814819999
[8]	time[8]= 7.708596e-01	90536962	815502433
[9]	time[9]= 8.696313e-01	90602884	816184453
[10]	time[10]= 9.691607e-01	90668710	816863448
[11]	time[11]= 1.069166e+00	90735249	817540800
[12]	time[12]= 1.169535e+00	90802370	818216904
[13]	time[13]= 1.270816e+00	90868223	818891817
[14]	time[14]= 1.372568e+00	90933732	819564864
[15]	time[15]= 1.475060e+00	90999750	820237039
[16]	time[16]= 1.578163e+00	91065563	820905190
[17]	time[17]= 1.681754e+00	91130382	821574122
[18]	time[18]= 1.786025e+00	91195017	822241094
[19]	time[19]= 1.891059e+00	91260603	822905567
[20]	time[20]= 1.996362e+00	91325298	823568224
[21]	time[21]= 2.102689e+00	91390171	824228753
[22]	time[22]= 2.209542e+00	91453666	824887618
[23]	time[23]= 2.317266e+00	91517625	825545510
[24]	time[24]= 2.425589e+00	91582102	826200489
[25]	time[25]= 2.534656e+00	91645604	826854754
[26]	time[26]= 2.644290e+00	91708855	827507346
[27]	time[27]= 2.754618e+00	91771523	828157766
[28]	time[28]= 2.865555e+00	91834757	828806818
[29]	time[29]= 2.977304e+00	91896997	829454306
[30]	time[30]= 3.089954e+00	91959881	830099034
[31]	time[31]= 3.203156e+00	92022943	830741971
[32]	time[32]= 3.317051e+00	92085249	831382068
[33]	time[33]= 3.431680e+00	92146688	832021152
[34]	time[34]= 3.547229e+00	92208382	832657392
[35]	time[35]= 3.663504e+00	92269813	833291117
[36]	time[36]= 3.780316e+00	92330564	833923832
[37]	time[37]= 3.898226e+00	92391974	834553797
[38]	time[38]= 4.016887e+00	92453205	835181529
[39]	time[39]= 4.136314e+00	92513746	835808006
